app_pkg,arpu,click_num,country_code,data_date,fill_num,imp_uv,lc,placement_id,request_num,revenue,show_num,uv
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,3,0,,149336,3,0.0,0,3
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,0,0,,149347,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,29,5,,150416,29,0.0,5,27
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,5,0,,150650,5,0.0,0,5
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,2,0,,149335,2,0.0,0,2
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,14,6,,148720,14,0.0,8,14
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,17,3,,147867,17,0.0,3,13
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,7,0,,149353,7,0.0,0,5
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,93,12,,148722,93,0.0,14,83
com.ehawk.antivirus.applock.wifi,0.01,3,ZA,2019-01-24,1352,27,,150639,1352,0.08997,34,915
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,1,0,,150655,1,0.0,0,1
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,101,23,,148721,101,0.0,27,90
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,0,0,,149346,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,6,0,,149352,6,0.0,0,6
com.ehawk.antivirus.applock.wifi,4.07,1,ZA,2019-01-24,3,3,,154257,3,0.122,3,3
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,92,5,,150417,92,0.0,7,85
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,443,107,,150933,443,0.0,118,378
com.ehawk.antivirus.applock.wifi,0.04,5,ZA,2019-01-24,310,69,,150642,310,0.11527,101,258
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,36,2,,149339,36,0.0,2,26
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,4,1,,149344,4,0.0,1,4
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,0,0,,150641,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,26,0,,150988,26,0.0,0,24
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,5,0,,149343,5,0.0,0,5
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,61,10,,150636,61,0.0,14,58
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,105,22,,148719,105,0.0,29,86
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,0,0,,150649,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,2,1,,139233,2,0.0,1,2
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,4,0,,150651,4,0.0,0,4
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,31,11,,142494,31,0.0,11,27
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,29,4,,150654,29,0.0,4,28
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,137,50,,150934,137,0.0,56,126
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,30,5,,150986,30,0.0,6,33
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,14,3,,150647,14,0.0,4,14
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,14,2,,150638,14,0.0,2,13
com.ehawk.antivirus.applock.wifi,0.01,1,ZA,2019-01-24,85,8,,150646,85,0.0082,8,77
com.ehawk.antivirus.applock.wifi,0.02,1,YE,2019-01-24,10,1,,150638,10,0.00181,2,10
com.ehawk.antivirus.applock.wifi,0.03,2,YE,2019-01-24,79,13,,150646,79,0.02091,20,68
